ID;Œntrebare;Var_A;Var_B;Var_C;Var_D;Var_E;Raspuns_Corect;Categorie;Punctaj
9120;Pentru identificarea si localizarea punerii monofazate la pamant prin rezistenta de trecere mare (RD>>Rdim), se folosesc:;terminal numeric inteligent (IED);dispozitiv de tip DSA;un cautator pentru selectarea distribuitorului pe care s-a produs punerea la pamant depistata de detector;un detector de curent, pentru identificarea existentei punerii la pamant cu rezistenta de trecere mare;un dispozitiv RPP;CD;PROFESIONALA;5
9122;Solutiile de protectie cel mai frecvent utilizate, in retelele cu neutrul compensat impotriva defectului monofazat, sunt de urmatoarele categorii:;protectia homopolara directionata de regim tranzitoriu;sistemul de detectie What;protectia homopolara directionata;protectia maximala de curent bazata pe aparitia unor armonici superioare de curent;-;ABD;PROFESIONALA;5
9124;Terminalul numeric de protectie de linie tip REL 521 are inclusa si o functie de supraveghere a circuitelor de masura de tensiune. Aceasta functie actioneaza in urmatoarele situatii:;la ruperea unui conductor a uneia dintre faze, pe linia supravegheata;la sesizarea unei valori semnificative a curentului homopolar, fara tensiune homopolara;la declansarea USOL de protectie a circuitelor de masura tensiune alternativa;la sesizarea unei valori semnificative a tensiunii homopolare si fara curent homopolar;-;CD;PROFESIONALA;6
9125;Protectia de distanta inclusa in terminalul numeric de protectie de linie tip REL 511, asigura cel putin trei din urmatoarele conditii:;declanseaza daca impedanta masurata este in interiorul zonei caracteristice pentru o anumita perioada de timp;are o schema completa de detectie cu 3 bucle pentru fiecare zona;asigura maxim 5 zone;are o caracteristica poligonala pentru fiecare zona;poate fi directionata sau nu pentru cele 3 bucle de caracteristica mho;ACD;PROFESIONALA;6
9126;Protectia numerica de tip DSLPP 100 pentru sesizarea punerilor la pamant pe liniile electrice de M.T., include o protectie de baza tip homopolara de putere combinata cu criteriul DESIR. Linia cu defect se poate depista astfel:;linia cu defect se poate selecta verificand directia curentului homopolar, care este opusa ca sens curentilor homopolari de pe liniile sanatoase si in urma tensiunii cu 90 grd;linia cu defect se poate selecta utilizand proiectia curentului homopolar, care este opusa ca sens curentilor homopolari de pe liniile sanatoare;linia cu defect se poate depista selectand manual functia de cautare defect Io de pe ecranul dispozitivului EFD 500;-;-;B;PROFESIONALA;6
9127;La terminalele numerice care din urmatoarele afirmatii sunt adevarate?;Functia de accelerare a protectiei la conectarea pe defect (SOTF) este o functie de protectie nedirectionata;Functia de accelerare a protectiei la conectarea pe defect (SOTF) este o functie de protectie directionata;Functia de accelerare a protectiei la conectarea pe defect (SOTF) este mentintuta pentru un interval de timp de 0,5s dupa indeplinirea conditiei de activare;Functia de accelerare a protectiei la conectarea pe defect (SOTF) este mentinuta pentru un interval de timp de 1s dupa indeplinirea conditiei de activare;-;AD;PROFESIONALA;6
9128;Comunicatia seriala RS-485 utilizeaza semnale de tip:;curent;tensiune;frecventa;-;-;A;PROFESIONALA;5
9129;Ce se regleaza din potentiometrele notate cu r si K aflate pe placa interioara a releului de distanta D114?;raza si deplasarea centrului cercului caracteristicii de demaraj;raza si deplasarea centrului cercului caracteristicii de masura;rezistentele pentru reglarea treptelor de masura;-;-;A;PROFESIONALA;6
9130;Elementul de demaraj ZMs al releului D114 este alimentat cu tensiunile:;"S-0 la defecte cu pamantul; S-R la defecte fara pamant";"S-0 la defecte cu pamantul; S-T la defecte fara pamant";S-0 la indiferent de tipul defectului;S-T la indiferent de tipul defectului;-;A;PROFESIONALA;6
9131;Unghiul de sensibilitate maxima la elementul de directie din releul D114 se obtine:;30 grade inductiv;30 grade capacitiv;60 grade capacitiv;-;-;B;PROFESIONALA;6
9132;La releul de distanta RD 110, calculul impedantei mixte se face cu formula:;Zr = 2ZIsc + Rarc;Zr = ZIsc(1+Kp)+Rarc;Zsc = 2ZIsc;Zsc = ZIsc(1+Kp);-;AB;PROFESIONALA;6
9133;Care dintre urmatoarele relee de distanta este de tip monosistem:;RD 110;D 114;PD 2;-;-;ABC;PROFESIONALA;6
9134;Pentru un releu D114, valoarea de reglaj a prizelor autotransformatorului V pentru fiecare treapta in parte se calculeaza cu formula:;V = pZs/KR;V = KR/pZs;V = 2ZIsc + Rarc;-;-;B;PROFESIONALA;6
9135;La releul de distanta D114, urmatoarele afirmatii despre elementul de directie SM nu sunt adevarate:;este alimentat conform schemei de 90grade, cu o tensiune proportionala cu curentul de defect culeasa de la bornele primarului transformatorului P;unghiul intern de sensibilitate maxima este de 30 grade inductiv;este un releu electrodinamic;este alimentat conform schemei de 90 grade cu tensiunea de pe bare obtinuta prin intermediul contactelor releelor de alegere;este un releu magnetoelectric;BE;PROFESIONALA;6
9136;Referitor la protectiile homopolara de curent, urmatoarele consideratii sunt adevarate:;in cazul retelelor compensate, criteriul amplitudinii fundamentale curentului de defect nu poate fi folosit pentru protectia homopolara deoarece bobina de stingere compenseaza in mare masura curentul homopolar de pe faza defecta, pe linia cu punere la pamant;relee RPP si DPP folosesc filtre de armonici superioare care blocheaza trecerea armonicilor impare si lasa sa treaca frecventa fundamentala;armonicile superioare impare (3,5,7) ale curentului de punere la pamant nu sunt compensate de curentul debitat de bobina de stingere;-;-;AC;PROFESIONALA;6
9137;Scheme de conexiuni ale transformatoarelor de curent, legarea in paralel a infasurarilor secundare a 2 transformatoare de curent situate pe aceeasi faza face ca:;capacitatea de incarcare cu sarcina secundara a fiecarui transformator se dubleaza;capacitatea de incarcare cu sarcina secundara a fiecarui transformator se reduce la jumatate;raportul de transformare se miscoreaza de doua ori fata de montajul cu un singur transformator;sarcina secundara si raportul de transformarea nu se modifica;-;AC;PROFESIONALA;6
9138;Referitor la protectia diferential longitudinala a unui trafo de putere ce are conexiunea Y/d, urmatoarele afirmatii sunt adevarate:;valoarea curentului de pornire al protectiei trebuie aleasa superior curentului de conectare in gol a trafo;TSR(transformatoarele cu saturatie rapida) in schema PDL(protectia diferential longitudinale) transforma foarte slab componenta aperiodica de magnetizare si sunt eficiente impotriva socului de magnetizare;TSR sunt eficiente impotriva curentului de dezechilibru provocat de reglarea sub sarcina a trafo;-;-;AB;PROFESIONALA;6
9139;Avantajele RAR-M sunt:;Pe durata intreruperii monofazate se pastreaza functionarea sincrona;In cazul liniilor radiale unice pentru alimentarea unor consumatori, se asigura alimentarea acestora pe durata functionarii RAR-M;In cazul liniilor radiale unice pentru alimentarea unor consumatori, se asigura alimentarea acestora cand declansarea definitiva este monofazata;-;-;ABC;PROFESIONALA;6
9140;Numarul de transe pentru DAS-f se stabileste in functie de:;valoarea de actionare a releului de frecventa, corespunzatoare primei transe;valoarea de actionare a releului de frecventa, corespunzatoare ultimei transe;valoarea minima limita impusa pentru frecventa, corespunzatoare ultimei transe;-;-;AC;PROFESIONALA;6
9142;Releul directional pentru procese tranzitorii se utilizeaza pentru:;Retele cu punctul neutru legat la pamant;Retele cu punctul neutru izolat;Retele cu punctul neutru compensat;-;-;BC;PROFESIONALA;6
9143;Releul directional pentru procese tranzitorii se recomanda a se folosi in locul releelor cu destinatie similara RPP si ISP, in urmatoarele conditii:;Protejarea numai unui numar limitat de plecari din statii;Protejarea unui numar nelimitat de plecari din statii;Curentul capacitiv este mai mare de 1A (valoarea sensibilitatii releelor RPP);Curentul capacitiv este mai mic de 10mA (valoarea sensibilitatii releelor RPP);Prin configuratia retelei nu se asigura selectivitatea releelor RPP;ADE;PROFESIONALA;6
9144;Consumatorii importanti pot avea o dubla alimentare (doua linii aflate in permanenta in functie) sau o alimentare in functie (normala) si una de rezerva. Solutia alimentarii de rezerva prezinta urmatoarele avantaje:;Alimentarea normala este incarcata cu jumatate din sarcina consumatorului;Protectiile prin relee sunt simple;Solicitarile termice si dinamice ale aparatajului consumatorului sunt mici;-;-;BC;PROFESIONALA;6
9146;Prin rezistenta electrica a arcului electric:;Se micsoreaza impedanta totala a retelei scurtcircuitate;Se poate produce intarzierea actionarii protectiei de impedanta;Se mareste impedenta totala a retelei scurtcircuitate;-;-;BC;PROFESIONALA;6
9147;Protectia diferentiala transversala directionala, pentru linii cu dublu circuit, este:;selectiva;asigura deconectarea rapida a defectelor pe intreaga lungime a liniilor;nu asigura deconectarea rapida a defectelor pe intreaga lungime a liniilor;-;-;AC;PROFESIONALA;6
9148;Protectia de distanta are urmatoarele dezavantaje:;defectele de pe o portiune de linie sunt deconectate cu timpul treptei a II-a;pentru linii lungi si incarcate scade sensibilitatea protectiei;pentru linii lungi scade sensibilitatea protectiei;-;-;AB;PROFESIONALA;6
9149;Cum se stabileste curentul de pornire al protectiei prin sectionare de curent pe liniile radiale:;In functie de curentul de scurtcircuit exterior minim al liniei;In functie de curentul de scurtcircuit exterior maxim al liniei;In functie de curentul de sarcina maxima pe linie;-;-;B;PROFESIONALA;6
9154;Daca butonul de comutare intre pozitia de control Local/Distanta (L/R) nu are niciunul din LED-uri aprins, in ce pozitie de control se afla releul REF615?;In pozitia de control Local;In pozitia de control la Distanta;Ambele pozitii de control sunt dezactivate;Ambele pozitii de control sunt activate;-;C;PROFESIONALA;3
9155;Ce informatii transmite LED-ul rosu situat deasupra ecranului LCD in cazul releului RED 670?;Daca LED-ul rosu lumineaza constant, inseamna ca este emisa comanda de declansare;Daca LED-ul rosu lumineaza consant, inseamna ca terminalul numeric este in functiune;Daca LED-ul rosu lumineaza constant, inseamna ca exista o eroare interna;-;-;A;PROFESIONALA;3
9156;Ce reprezinta functia de protectie (50HS) setata in releul de protectie SIPROTEC 4 7SA6?;Protectia diferentiala de linie/bara;SOTF declansare la comutarea pe defect;Protectia de supracurent pe faza;Reanclansarea automata rapida;Detectie a pendulatiilor de putere si declansarea releului;B;PROFESIONALA;5
9157;Ce reprezinta functia de protectie (50HS) setata in releul de protectie SIPROTEC 4 7SA6?;Protectia diferentiala de linie/bara;SOTF declansare la comutarea pe defect;Protectia de supracurent pe faza;Reanclansarea automata rapida;Detectie a pendulatiilor de putere si declansarea releului;B;PROFESIONALA;5
9159;Care este rolul tastelor de apelare rapida F1, F2, F3 si F4 aflate pe panoul frontal la releul de protectie Siprotec Siemens?;Tastele permit utilizarea mai rapida a unor functii ce apar mai des in exploatare;Tastele pot fi programate, iar pe panoul frontal, langa aceste taste exista o eticheta pentru descrierea functiei respectivei taste;Tasta F1 este presetata din fabrica, pentru resetarea led-urilor de semnalizare;Trei dintre aceste taste au presetari facute din fabrica pentru a afisa: F1 - Mesaje de exploatare, F2 - Valorile masurate si F3 - Informatiile despre ultimul defect produs;Tastele nu pot fi programate, acestea fiind configurate standard din fabrica;ABD;PROFESIONALA;5
9160;Se admite conectarea protectiilor la infasurarile de masura ale transformatoarelor de curent?;Da. Daca protectiile se regleaza la curenti inferiori curentilor limita de exactitate, calculati in functie de factorul de securitate si sarcina secundara a infasurarii de masura;Nu. Conectarea protectiilor se va face la infasurarile de protectie ale transformatoarelor de curent;Da. Daca protectiile pot functiona corect chiar si la saturatia miezului transformatoarelor de curent;Da. Daca sarcina secundara reala a infasurarii de masura se incadreaza in limitele impuse de conditiile de exactitate;-;ACD;PROFESIONALA;5
9161;Cum se vor monta in circuit, pe partea primara, transformatoarele de curent?;Bornele P1 si P2 ale transformatoarelor de curent se pot lega in orice mod, deoarece acestea functioneaza in curent alternativ;Transformatoarele de curent vor fi astfel montate, incat borna primara P1 sa fie orientata spre barele colectoare si P2 spre echipamentul respectiv (linie, transformator etc.);In cazul transformatoarelor de curent asociate intreruptoarelor de cupla intre bare, borna P1 va fi orientata catre intreruptorul respectiv;-;-;BC;PROFESIONALA;5
9162;Care sunt functiile sistemelor de circuite secundare, din circuite secundare, din statiile electrice, pentru sistemele sau subsistemele de protectie si automatizare?;Functii de achizitie, transmitere, inregistrare, stocare si prelucrare ierarhizata a datelor;Comutarea automata a alimentarii pe o cale de rezerva, pentru asigurarea continuitatii alimentarii consumatorilor, in cazul iesirii accidentale din functiune a caii principale de alimentare;Detectarea regimurilor anormale si periculoase de functionare a elementelor sistemului (instalatiei), aparute ca urmare a unor abateri de la parametrii normali de functionare sau a unor functionari incorecte ale intreruptoarelor;Functii de aplicatie pentru necesitatile de conducere ale procesului tehnologic energetic (comanda, blocare, supraveghere, masura, inregistrare);Detectarea defectelor si declansarea/deconectarea automata a elementului defect;BCE;PROFESIONALA;3
